Id,Description,Subtitle,Title,AgeRange,Author,Country,CoverImageUrl
books/1,"Having escaped from Hong Kong, the five gatekeepers - Matt, Pedro, Scott, Jamie and Scarlett - are scattered in a hostile and dangerous world. As they struggle to re-group and plan their next move, the malevolent King of the Old Ones gathers his forces in Oblivion: a desolate landscape where the last survivors of humanity must fight the ultimate battle.",Oblivion,Power of Five,13-18 years,Anthony Horowitz,International,http://images.exclus1ves.co.za/biblio/thumbnail.php?isbn=9781844286232&w=170&h=250&rc=1
books/2,"Shaggy: 14 rather amusing rambles is a collection of hilarious short monologues by a cast of self indulgent, idiotic misanthropes whose speeches are full of sound and fury, signifying very little.\r\n\r\nThe stories follow 14 peculiar characters as they operate in contemporary South Africa: prepare yourself for a woman addicted to washing dishes, a satanist trying to sell timeshare, and a marketing manager, explaining the supernatural qualities of baked beans!\r\n\r\nLitNet describes Shaggy as the \""kind of laughter that makes your abdominal muscles (that you didn’t know existed) contract and contort and your cheeks start to tickle with tears of joy.\""\r\n",14 rather amusing rambles,Shaggy,13-18 years,Anton Krueger; Pravasan Pillay,South Africa,http://4.bp.blogspot.com/-HIfkesAXww8/UD9rnfyCoVI/AAAAAAAAAR8/3DlTE91r-Ys/s200/shaggycover.jpg
books/3,"Filled with fascinating facts, this series looks at the extraordinary animals living in southern Africa. Discover the amazing adaptations that animals have developed in order to survive. Find out about their lifecycles, the places they live, why some keep territories, why they migrate or hibernate, how they find a mate and escape predators, and how they interact with one another.\r\n\r\nThe sections on conservation matters and animal classification introduce new ways of thinking. Full-colour photographs, beautiful illustrations, fun activities, and informative text will help you understand what the lives of these animals are all about.",Birds,Animals of Southern Africa,9-12 years,Lynne Matthews,South Africa,http://www.jacana.co.za/components/com_virtuemart/shop_image/product/resized/Animals_of_South_50beeacb3838f_150x150.jpg
books/4,"Filled with fascinating facts, this series looks at the extraordinary animals living in southern Africa. Discover the amazing adaptations that animals have developed in order to survive. Find out about their lifecycles, the places they live, why some keep territories, why they migrate or hibernate, how they find a mate and escape predators, and how they interact with one another.\r\n\r\nThe sections on conservation matters and animal classification introduce new ways of thinking. Full-colour photographs, beautiful illustrations, fun activities, and informative text will help you understand what the lives of these animals are all about.",Mammals,Animals of Southern Africa,9-12 years,Lynne Matthews,South Africa,http://www.jacana.co.za/components/com_virtuemart/shop_image/product/Animals_of_South_50bee90fbea8f.jpg
books/5,"Filled with fascinating facts, this series looks at the extraordinary animals living in southern Africa. Discover the amazing adaptations that animals have developed in order to survive. Find out about their lifecycles, the places they live, why some keep territories, why they migrate or hibernate, how they find a mate and escape predators, and how they interact with one another.\r\n\r\nThe sections on conservation matters and animal classification introduce new ways of thinking. Full-colour photographs, beautiful illustrations, fun activities, and informative text will help you understand what the lives of these animals are all about.",Insects and Other Vertebrates,Animals of Southern Africa,9-12 years,Lynne Matthews,South Africa,http://www.jacana.co.za/components/com_virtuemart/shop_image/product/resized/Animals_of_South_50bee747ec9d3_150x150.jpg
books/6,"Filled with fascinating facts, this series looks at the extraordinary animals living in southern Africa. Discover the amazing adaptations that animals have developed in order to survive. Find out about their lifecycles, the places they live, why some keep territories, why they migrate or hibernate, how they find a mate and escape predators, and how they interact with one another.\r\n\r\nThe sections on conservation matters and animal classification introduce new ways of thinking. Full-colour photographs, beautiful illustrations, fun activities, and informative text will help you understand what the lives of these animals are all about.",Frogs and Reptiles,Animals of Southern Africa,9-12 years,Lynne Matthews,South Africa,http://www.jacana.co.za/components/com_virtuemart/shop_image/product/Animals_of_South_50beec357e364.jpg
books/7,"illed with fascinating facts, this series looks at the extraordinary animals living in southern Africa. Discover the amazing adaptations that animals have developed in order to survive. Find out about their lifecycles, the places they live, why some keep territories, why they migrate or hibernate, how they find a mate and escape predators, and how they interact with one another. The sections on conservation matters and animal classification introduce new ways of thinking. Full-colour photographs, beautiful illustrations, fun activities, and informative text will help you understand what the lives of these animals are all about.",Marine Life,Animals of Southern Africa,9-12 years,Lynne Matthews,South Africa,http://www.jacana.co.za/components/com_virtuemart/shop_image/product/Animals_of_South_50beed07e9d1c.jpg
books/8,"From his high pedestal, the Happy Prince, a magnificent golden statue, can see all the misery of the city below him. He begs a little Swallow to pluck off his treasure and share it amongst the poor. When the Happy Prince asks his new friend to stay and help him, the Swallow receives a lesson in kindness and caring.\r\n\r\nOscar Wilde’s timeless, compassionate tale of the friendship between the Happy Prince and the Swallow is brought to life by Joan Rankin’s sensitive, magical artwork. Beloved since it was first published in 1888, this enchanting story will be enjoyed by both adults and children.",null,The Happy Prince,3-5 years,Carole Bloch; Margaret Sixel,South Africa,http://www.jacana.co.za/components/com_virtuemart/shop_image/product/The_Happy_Prince_50a4c30509aa0.jpg
books/9,"Njengoba emi phezu kwensika ephakeme nje, uMntanenkosi Othokozile, isichuse esiphambili ngempela esenziwe ngegolide, ukwazi ukubona lonke usizi olutholakala edolobheni elilaphaya phansi. Usecela iNkonjane encane ukuba ide ikhipha leli gugu elisemzimbeni wakhe ukuze abelane ngalo nabampofu. Lapho uMntanenkosi Othokozile esecela umngani wakhe omusha ukuba ahlale amsize, iNkonjane ithola isifundo ngobubele nokunakekela abanye.\r\n\r\nInganekwane ka-Oscar Wilde engasoze yabuna exoxa ngobungani phakathi kukaMntanenkosi Othokozile neNkonjane, iphiliswa kabusha yimidwebo eyisimanga kaJoan Rankin. Le ndaba eselokhu yathandeka kusukela ekushicilelweni kwayo ngowe-1888 izothokozelwa ngokufanayo ngabadala nezingane.",null,UMntanenkosi Othokozil,3-5 years,Carole Bloch; Margaret Sixel,South Africa,http://www.jacana.co.za/components/com_virtuemart/shop_image/product/UMntanenkosi_Oth_50a4d6573174f.jpg
books/10,"Phezu kwesiqobo sawo eside esivelele isixeko, umfanekiso oqingqiweyo ogolide weNkosana eyOnwabileyo ubona ububi nenkxwaleko yabantu esixekweni esingezantsi kwawo. Ubongoza iNkonjane encinane ukuba isuse bonke ubucwebecwebe obukuyo ize yabelane ngabo nabantu abangamahlwempu. Ngelixa iNkosana eyOnwabileyo icela umhlobo wayo omtsha ukuba ahlale ze ayincede, iNkonjane ifunda isifundo ngokubonisa uvelwano nokukhathalela abanye.\r\n\r\nIbali elingaphelelwayo, elisenentsingiselo nanamhla oku nelibonisa uvelwano nenkathalo phakathi kweNkosana eyOnwabileyo neNkonjane lenziwe ukuba linike umdla ngakumbi yimizobo emangalisayo ezotywe ngenkathalo nguJoan Rankin. Ibali elisathandwa nanamhla oku elapapashwa okokuqala ngowe-1888, liza konwatyelwa ngabadala kunye nabantwana.",null," Inkosana eyOnwabileyo",3-5 years,Carole Bloch; Margaret Sixel,South Africa,http://www.jacana.co.za/components/com_virtuemart/shop_image/product/Inkosana_eyOnwab_50a4d76af4069.jpg
